hoice {
  short: hoice
  graph: hoice
  cmd: "hoice -c off"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unknown" | wc -l | tr -d ' '` -ne 0 ] \
|| [ `cat $out | grep -e "^(error" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit 2
elif [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
112 "clauses/lia/termination/CE-1CFA04.smt2" 0.088196508 10
113 "clauses/lia/termination/CE-1CFA05.smt2" 0.035143308 0
114 "clauses/lia/termination/CE-1CFA06.smt2" 0.024712053 0
115 "clauses/lia/termination/CE-1CFA07.smt2" 0.064236235 10
116 "clauses/lia/termination/CE-1CFA08.smt2" 0.020257332 0
117 "clauses/lia/termination/CE-1CFA09.smt2" 0.064504758 10
118 "clauses/lia/termination/CE-Jones_Bohr00.smt2" 0.017516699 0
119 "clauses/lia/termination/CE-Jones_Bohr01.smt2" 0.028454415 0
120 "clauses/lia/termination/CE-Jones_Bohr02.smt2" 0.016620216 0
121 "clauses/lia/termination/CE-Jones_Bohr03.smt2" 0.011888357 0
122 "clauses/lia/termination/CE-Jones_Bohr04.smt2" 0.108893475 10
123 "clauses/lia/termination/churchNum01.smt2" 0.050191937 0
124 "clauses/lia/termination/churchNum02.smt2" 0.029130922 0
125 "clauses/lia/termination/churchNum03.smt2" 0.055031315 0
126 "clauses/lia/termination/Fibonacci00.smt2" 0.010367851 0
127 "clauses/lia/termination/Fibonacci01.smt2" 0.011271996 0
128 "clauses/lia/termination/Fibonacci02.smt2" 0.027072567 0
129 "clauses/lia/termination/Fibonacci03.smt2" 0.027402457 0
130 "clauses/lia/termination/indirect00.smt2" 0.032796196 0
131 "clauses/lia/termination/indirect01.smt2" 0.292259018 0
