hoice {
  short: hoice
  graph: hoice
  cmd: "hoice --simple_red on"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
102 "clauses/lia/termination/CE-0CFA00.smt2" 0.087772900 0
143 "clauses/lia/termination/toChurch01.smt2" 0.017983553 0
144 "clauses/lia/termination/toChurch02.smt2" 0.018515047 0
145 "clauses/lia/termination/toChurch03.smt2" 0.033620960 0
142 "clauses/lia/termination/toChurch00.smt2" 0.242962475 0
101 "clauses/lia/termination/binomial05.smt2" timeout 124
147 "clauses/lia/termination/toChurch05.smt2" 0.040802782 0
148 "clauses/lia/termination/up_down00.smt2" 0.101022805 0
146 "clauses/lia/termination/toChurch04.smt2" 0.056802439 0
151 "clauses/lia/termination/up_down03.smt2" 0.015121901 0
152 "clauses/lia/termination/up_down04.smt2" 0.020420122 0
153 "clauses/lia/termination/up_down05.smt2" 0.015286233 0
150 "clauses/lia/termination/up_down02.smt2" 0.017007032 0
117 "clauses/lia/termination/CE-1CFA09.smt2" 4.470233750 10
154 "clauses/lia/termination/up_down06.smt2" 0.018032415 0
156 "clauses/lia/termination/x_plus_2_pow_n00.smt2" 0.013692246 0
126 "clauses/lia/termination/Fibonacci00.smt2" 0.013469018 0
149 "clauses/lia/termination/up_down01.smt2" 0.017562402 0
155 "clauses/lia/termination/up_down07.smt2" 0.024408661 0
157 "clauses/lia/termination/x_plus_2_pow_n01.smt2" 0.027471853 0
161 "clauses/lia/termination/zip00.smt2" 0.015957156 0
158 "clauses/lia/termination/x_plus_2_pow_n02.smt2" 0.017295240 0
159 "clauses/lia/termination/x_plus_2_pow_n03.smt2" 0.022754076 0
160 "clauses/lia/termination/x_plus_2_pow_n04.smt2" 0.016331908 0
162 "clauses/lia/termination/zip01.smt2" 0.018129587 0
163 "clauses/lia/termination/zip02.smt2" 0.016460521 0
085 "clauses/lia/termination/Ackermann03.smt2" 78.405157875 0
098 "clauses/lia/termination/binomial02.smt2" timeout 124
088 "clauses/lia/termination/Ackermann06.smt2" timeout 124
114 "clauses/lia/termination/CE-1CFA06.smt2" 0.282392555 0
122 "clauses/lia/termination/CE-Jones_Bohr04.smt2" timeout 124
125 "clauses/lia/termination/churchNum03.smt2" 0.024169959 0
137 "clauses/lia/termination/indirectHO03.smt2" 0.012215771 0
119 "clauses/lia/termination/CE-Jones_Bohr01.smt2" timeout 124
127 "clauses/lia/termination/Fibonacci01.smt2" 0.009401808 0
123 "clauses/lia/termination/churchNum01.smt2" timeout 124
124 "clauses/lia/termination/churchNum02.smt2" timeout 124
