hoice para {
  short: hoice_para
  graph: hoice para
  cmd: "hoice --gain_threads 20"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
122 "clauses/lia/termination/CE-Jones_Bohr04.smt2" timeout 124
123 "clauses/lia/termination/churchNum01.smt2" timeout 124
124 "clauses/lia/termination/churchNum02.smt2" timeout 124
125 "clauses/lia/termination/churchNum03.smt2" 2.187173643 0
126 "clauses/lia/termination/Fibonacci00.smt2" 0.165648449 0
127 "clauses/lia/termination/Fibonacci01.smt2" 0.303558096 0
128 "clauses/lia/termination/Fibonacci02.smt2" 0.328132840 0
129 "clauses/lia/termination/Fibonacci03.smt2" 0.348865742 0
130 "clauses/lia/termination/indirect00.smt2" 0.301129736 0
131 "clauses/lia/termination/indirect01.smt2" 3.801412462 0
132 "clauses/lia/termination/indirect02.smt2" 0.602711808 0
133 "clauses/lia/termination/indirect03.smt2" 0.696833458 0
134 "clauses/lia/termination/indirectHO00.smt2" 0.338445682 0
135 "clauses/lia/termination/indirectHO01.smt2" 1.584283668 0
136 "clauses/lia/termination/indirectHO02.smt2" 0.743989540 0
137 "clauses/lia/termination/indirectHO03.smt2" 0.932467668 0
138 "clauses/lia/termination/McCarthy9100.smt2" 0.173109817 0
139 "clauses/lia/termination/McCarthy9101.smt2" 0.311167030 0
140 "clauses/lia/termination/McCarthy9102.smt2" 0.327697056 0
141 "clauses/lia/termination/McCarthy9103.smt2" 0.470745907 0
142 "clauses/lia/termination/toChurch00.smt2" 7.635903460 0
143 "clauses/lia/termination/toChurch01.smt2" 1.546428035 0
144 "clauses/lia/termination/toChurch02.smt2" 1.484681224 0
145 "clauses/lia/termination/toChurch03.smt2" 3.217583983 0
146 "clauses/lia/termination/up_down00.smt2" 0.622618506 0
147 "clauses/lia/termination/up_down01.smt2" 0.757889115 0
148 "clauses/lia/termination/up_down02.smt2" 0.791663982 0
149 "clauses/lia/termination/up_down03.smt2" 0.613533846 0
150 "clauses/lia/termination/up_down04.smt2" 0.768807925 0
151 "clauses/lia/termination/up_down05.smt2" 0.813538442 0
152 "clauses/lia/termination/up_down06.smt2" 1.530787480 0
153 "clauses/lia/termination/up_down07.smt2" 1.447719935 0
154 "clauses/lia/termination/x_plus_2_pow_n00.smt2" 0.455980508 0
155 "clauses/lia/termination/x_plus_2_pow_n01.smt2" 2.215599861 0
156 "clauses/lia/termination/x_plus_2_pow_n02.smt2" 0.555699369 0
157 "clauses/lia/termination/x_plus_2_pow_n03.smt2" 0.727232713 0
158 "clauses/lia/termination/x_plus_2_pow_n04.smt2" 0.807706582 0
159 "clauses/lia/termination/zip00.smt2" 0.511216643 0
160 "clauses/lia/termination/zip01.smt2" 0.913759880 0
161 "clauses/lia/termination/zip02.smt2" 1.123691820 0
