z3 auto EA {
  short: z3_auto_ea
  graph: z3 auto EA
  cmd: "z3"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
122 "clauses/lia/termination/CE-Jones_Bohr04.smt2" 0.019872791 10
123 "clauses/lia/termination/churchNum01.smt2" 0.063454997 0
124 "clauses/lia/termination/churchNum02.smt2" 0.026480423 0
125 "clauses/lia/termination/churchNum03.smt2" 0.006502040 0
126 "clauses/lia/termination/Fibonacci00.smt2" 0.004921689 0
127 "clauses/lia/termination/Fibonacci01.smt2" 0.004618614 0
128 "clauses/lia/termination/Fibonacci02.smt2" 0.004956063 0
129 "clauses/lia/termination/Fibonacci03.smt2" 0.004788746 0
130 "clauses/lia/termination/indirect00.smt2" 0.005385923 0
131 "clauses/lia/termination/indirect01.smt2" 0.009042042 0
132 "clauses/lia/termination/indirect02.smt2" 0.004968925 0
133 "clauses/lia/termination/indirect03.smt2" 0.005568659 0
134 "clauses/lia/termination/indirectHO00.smt2" 0.006817221 0
135 "clauses/lia/termination/indirectHO01.smt2" 0.007005759 0
136 "clauses/lia/termination/indirectHO02.smt2" 0.005384815 0
137 "clauses/lia/termination/indirectHO03.smt2" 0.006335883 0
138 "clauses/lia/termination/McCarthy9100.smt2" 0.004618794 0
139 "clauses/lia/termination/McCarthy9101.smt2" 0.004955763 0
140 "clauses/lia/termination/McCarthy9102.smt2" 0.004546042 0
141 "clauses/lia/termination/McCarthy9103.smt2" 0.004956377 0
142 "clauses/lia/termination/toChurch00.smt2" 0.011586449 0
143 "clauses/lia/termination/toChurch01.smt2" 0.010161881 0
144 "clauses/lia/termination/toChurch02.smt2" 0.007090306 0
145 "clauses/lia/termination/toChurch03.smt2" 0.008739929 0
146 "clauses/lia/termination/toChurch04.smt2" 0.010496633 0
147 "clauses/lia/termination/toChurch05.smt2" 0.019758020 0
148 "clauses/lia/termination/up_down00.smt2" 0.005682145 0
149 "clauses/lia/termination/up_down01.smt2" 0.005651796 0
150 "clauses/lia/termination/up_down02.smt2" 0.006226452 0
151 "clauses/lia/termination/up_down03.smt2" 0.005550299 0
152 "clauses/lia/termination/up_down04.smt2" 0.005965843 0
153 "clauses/lia/termination/up_down05.smt2" 0.006260413 0
154 "clauses/lia/termination/up_down06.smt2" 0.006460547 0
155 "clauses/lia/termination/up_down07.smt2" 0.006486052 0
156 "clauses/lia/termination/x_plus_2_pow_n00.smt2" 0.005258478 0
157 "clauses/lia/termination/x_plus_2_pow_n01.smt2" 0.007895479 0
158 "clauses/lia/termination/x_plus_2_pow_n02.smt2" 0.004974493 0
159 "clauses/lia/termination/x_plus_2_pow_n03.smt2" 0.005814402 0
160 "clauses/lia/termination/x_plus_2_pow_n04.smt2" 0.006110436 0
161 "clauses/lia/termination/zip00.smt2" 0.004697264 0
162 "clauses/lia/termination/zip01.smt2" 0.005633774 0
163 "clauses/lia/termination/zip02.smt2" 0.006265443 0
