z3 spacer EA {
  short: z3_spacer_ea
  graph: z3 spacer EA
  cmd: "z3 fixedpoint.engine=spacer"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
146 "clauses/lia/termination/toChurch04.smt2" 0.010379078 0
147 "clauses/lia/termination/toChurch05.smt2" 0.013341561 0
148 "clauses/lia/termination/up_down00.smt2" 0.006036890 0
149 "clauses/lia/termination/up_down01.smt2" 0.005992516 0
150 "clauses/lia/termination/up_down02.smt2" 0.006881279 0
151 "clauses/lia/termination/up_down03.smt2" 0.005432243 0
152 "clauses/lia/termination/up_down04.smt2" 0.006150303 0
153 "clauses/lia/termination/up_down05.smt2" 0.006298035 0
154 "clauses/lia/termination/up_down06.smt2" 0.007046280 0
155 "clauses/lia/termination/up_down07.smt2" 0.006979505 0
156 "clauses/lia/termination/x_plus_2_pow_n00.smt2" 0.005528613 0
157 "clauses/lia/termination/x_plus_2_pow_n01.smt2" 0.007987710 0
158 "clauses/lia/termination/x_plus_2_pow_n02.smt2" 0.005449307 0
159 "clauses/lia/termination/x_plus_2_pow_n03.smt2" 0.005947138 0
160 "clauses/lia/termination/x_plus_2_pow_n04.smt2" 0.005976114 0
161 "clauses/lia/termination/zip00.smt2" 0.005310205 0
162 "clauses/lia/termination/zip01.smt2" 0.005920377 0
163 "clauses/lia/termination/zip02.smt2" 0.006216770 0
