eldarica EA Red {
  short: eld_ea_red
  graph: eldarica EA Red
  cmd: "eldarica -ssol"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check_eld on --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
137 "clauses/lia_ea_red/termination/indirectHO03.smt2" 0.870610193 0
138 "clauses/lia_ea_red/termination/McCarthy9100.smt2" 0.796463608 0
139 "clauses/lia_ea_red/termination/McCarthy9101.smt2" 0.784164754 0
140 "clauses/lia_ea_red/termination/McCarthy9102.smt2" 0.879490971 0
141 "clauses/lia_ea_red/termination/McCarthy9103.smt2" 0.883177639 0
142 "clauses/lia_ea_red/termination/toChurch00.smt2" 1.297445344 0
143 "clauses/lia_ea_red/termination/toChurch01.smt2" 0.823003479 0
144 "clauses/lia_ea_red/termination/toChurch02.smt2" 0.834253500 0
145 "clauses/lia_ea_red/termination/toChurch03.smt2" 0.804033624 0
146 "clauses/lia_ea_red/termination/toChurch04.smt2" 0.814323052 0
147 "clauses/lia_ea_red/termination/toChurch05.smt2" 1.185362007 0
148 "clauses/lia_ea_red/termination/up_down00.smt2" 0.806588162 0
149 "clauses/lia_ea_red/termination/up_down01.smt2" 0.801497709 0
150 "clauses/lia_ea_red/termination/up_down02.smt2" 0.884746266 0
151 "clauses/lia_ea_red/termination/up_down03.smt2" 0.799910728 0
152 "clauses/lia_ea_red/termination/up_down04.smt2" 0.789070055 0
153 "clauses/lia_ea_red/termination/up_down05.smt2" 0.911352454 0
154 "clauses/lia_ea_red/termination/up_down06.smt2" 0.790369953 0
155 "clauses/lia_ea_red/termination/up_down07.smt2" 0.794140696 0
156 "clauses/lia_ea_red/termination/x_plus_2_pow_n00.smt2" 0.871902094 0
157 "clauses/lia_ea_red/termination/x_plus_2_pow_n01.smt2" 2.515919265 0
158 "clauses/lia_ea_red/termination/x_plus_2_pow_n02.smt2" 0.818081653 0
159 "clauses/lia_ea_red/termination/x_plus_2_pow_n03.smt2" 0.787539634 0
160 "clauses/lia_ea_red/termination/x_plus_2_pow_n04.smt2" 0.900237954 0
161 "clauses/lia_ea_red/termination/zip00.smt2" 0.796784131 0
162 "clauses/lia_ea_red/termination/zip01.smt2" 0.781500626 0
163 "clauses/lia_ea_red/termination/zip02.smt2" 0.934765861 0
