hoice Red EA {
  short: hoice_red_ea
  graph: hoice Red EA
  cmd: "hoice"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
149 "clauses/lia/termination/up_down01.smt2" 0.008259438 0
150 "clauses/lia/termination/up_down02.smt2" 0.016876450 0
151 "clauses/lia/termination/up_down03.smt2" 0.008260448 0
152 "clauses/lia/termination/up_down04.smt2" 0.008314335 0
153 "clauses/lia/termination/up_down05.smt2" 0.017926351 0
154 "clauses/lia/termination/up_down06.smt2" 0.008191275 0
155 "clauses/lia/termination/up_down07.smt2" 0.008326919 0
156 "clauses/lia/termination/x_plus_2_pow_n00.smt2" 0.019914497 0
157 "clauses/lia/termination/x_plus_2_pow_n01.smt2" 0.087622827 0
158 "clauses/lia/termination/x_plus_2_pow_n02.smt2" 0.008906127 0
159 "clauses/lia/termination/x_plus_2_pow_n03.smt2" 0.008440535 0
160 "clauses/lia/termination/x_plus_2_pow_n04.smt2" 0.017021784 0
161 "clauses/lia/termination/zip00.smt2" 0.008612302 0
162 "clauses/lia/termination/zip01.smt2" 0.008804688 0
163 "clauses/lia/termination/zip02.smt2" 0.010688044 0
088 "clauses/lia/termination/Ackermann06.smt2" 10.983297448 0
